cart,purchase,view,view_to_cart,cart_to_purchase
0.0,0.0,1.0,0.0,
60.0,32.0,10342.0,0.0058015857667762525,0.5333333333333333
16.0,18.0,3979.0,0.004021110831867303,1.125
0.0,0.0,31.0,0.0,
61.0,33.0,1331.0,0.04583020285499624,0.5409836065573771
1.0,1.0,108.0,0.009259259259259259,1.0
0.0,0.0,1.0,0.0,
5.0,3.0,386.0,0.012953367875647668,0.6
46.0,24.0,4791.0,0.00960133583802964,0.5217391304347826
91.0,39.0,10234.0,0.008891928864569083,0.42857142857142855
0.0,153.0,21728.0,0.0,inf
165.0,83.0,12359.0,0.013350594708309734,0.503030303030303
414.0,246.0,32470.0,0.012750230982445335,0.5942028985507246
0.0,71.0,7799.0,0.0,inf
0.0,9.0,1037.0,0.0,inf
1.0,3.0,1302.0,0.0007680491551459293,3.0
0.0,5.0,1486.0,0.0,inf
0.0,0.0,24.0,0.0,
8.0,2.0,1935.0,0.004134366925064599,0.25
1.0,2.0,1531.0,0.0006531678641410843,2.0
4.0,6.0,3130.0,0.0012779552715654952,1.5
0.0,0.0,157.0,0.0,
0.0,0.0,1.0,0.0,
0.0,0.0,131.0,0.0,
78.0,30.0,6073.0,0.012843734562819035,0.38461538461538464
22.0,1.0,4236.0,0.005193578847969783,0.045454545454545456
0.0,2.0,2736.0,0.0,inf
0.0,3.0,451.0,0.0,inf
0.0,6.0,344.0,0.0,inf
0.0,0.0,6.0,0.0,
27446.0,12877.0,248725.0,0.11034676851944919,0.4691758361874226
1618.0,552.0,18809.0,0.08602264873199,0.3411619283065513
30.0,17.0,1120.0,0.026785714285714284,0.5666666666666667
3234.0,1475.0,55299.0,0.05848207020018445,0.45609152752009896
1118.0,388.0,15538.0,0.07195263225640365,0.3470483005366726
5500.0,2499.0,61452.0,0.08950074855171516,0.45436363636363636
0.0,1.0,103.0,0.0,inf
0.0,0.0,1.0,0.0,
559.0,315.0,13691.0,0.04082974216638668,0.5635062611806798
1030.0,641.0,36967.0,0.027862688343657856,0.6223300970873786
630.0,229.0,10279.0,0.06129000875571554,0.3634920634920635
0.0,0.0,23.0,0.0,
3361.0,1485.0,45138.0,0.07446054322300501,0.44183278786075575
0.0,1.0,201.0,0.0,inf
1057.0,514.0,19933.0,0.05302764260271911,0.48628192999053926
43790.0,22227.0,409169.0,0.1070217929510789,0.5075816396437542
1424.0,518.0,19132.0,0.074430273886682,0.3637640449438202
19.0,11.0,664.0,0.0286144578313253,0.5789473684210527
6467.0,2826.0,66276.0,0.09757680004828294,0.4369877841348384
143.0,291.0,15827.0,0.009035193024578253,2.034965034965035
98.0,54.0,2497.0,0.03924709651581898,0.5510204081632653
0.0,3.0,1660.0,0.0,inf
274.0,207.0,9217.0,0.029727677118368233,0.7554744525547445
7508.0,3414.0,83402.0,0.09002182201865663,0.4547149706979222
20771.0,9923.0,214292.0,0.0969284900976238,0.4777333782677772
1742.0,918.0,34688.0,0.05021909594095941,0.5269804822043628
0.0,0.0,893.0,0.0,
0.0,0.0,8.0,0.0,
22.0,6.0,156.0,0.14102564102564102,0.2727272727272727
28.0,10.0,895.0,0.03128491620111732,0.35714285714285715
1.0,4.0,2597.0,0.0003850596842510589,4.0
0.0,0.0,18.0,0.0,
0.0,0.0,2.0,0.0,
0.0,0.0,244.0,0.0,
0.0,0.0,238.0,0.0,
251.0,171.0,6962.0,0.03605285837403045,0.6812749003984063
304.0,330.0,14861.0,0.020456227710113722,1.0855263157894737
0.0,0.0,310.0,0.0,
1.0,0.0,2647.0,0.00037778617302606723,0.0
0.0,0.0,2.0,0.0,
0.0,1.0,21.0,0.0,inf
0.0,0.0,5.0,0.0,
3.0,12.0,1897.0,0.0015814443858724301,4.0
4.0,2.0,3304.0,0.0012106537530266344,0.5
0.0,0.0,6.0,0.0,
0.0,0.0,424.0,0.0,
0.0,0.0,28.0,0.0,
0.0,0.0,149.0,0.0,
59.0,98.0,5759.0,0.01024483417259941,1.6610169491525424
49.0,42.0,6432.0,0.0076181592039800995,0.8571428571428571
10.0,1.0,1037.0,0.009643201542912247,0.1
49.0,42.0,10892.0,0.004498714652956298,0.8571428571428571
43.0,4.0,6345.0,0.00677698975571316,0.09302325581395349
12.0,5.0,2324.0,0.0051635111876075735,0.4166666666666667
0.0,0.0,44.0,0.0,
15.0,12.0,3539.0,0.004238485447866629,0.8
0.0,1.0,154.0,0.0,inf
0.0,3.0,362.0,0.0,inf
0.0,0.0,17.0,0.0,
29.0,2.0,617.0,0.04700162074554295,0.06896551724137931
0.0,8.0,4444.0,0.0,inf
0.0,0.0,1.0,0.0,
0.0,0.0,344.0,0.0,
7.0,12.0,1602.0,0.004369538077403246,1.7142857142857142
0.0,2.0,259.0,0.0,inf
0.0,0.0,193.0,0.0,
0.0,1.0,36.0,0.0,inf
0.0,0.0,36.0,0.0,
7.0,3.0,1611.0,0.004345127250155183,0.42857142857142855
5.0,4.0,2072.0,0.002413127413127413,0.8
0.0,0.0,966.0,0.0,
0.0,0.0,61.0,0.0,
0.0,0.0,1.0,0.0,
4.0,7.0,3458.0,0.001156737998843262,1.75
0.0,0.0,6.0,0.0,
1.0,0.0,280.0,0.0035714285714285713,0.0
0.0,0.0,417.0,0.0,
0.0,2.0,842.0,0.0,inf
0.0,0.0,41.0,0.0,
5.0,9.0,1945.0,0.002570694087403599,1.8
0.0,0.0,8.0,0.0,
0.0,0.0,637.0,0.0,
16.0,24.0,4385.0,0.0036488027366020524,1.5
0.0,0.0,111.0,0.0,
0.0,0.0,10.0,0.0,
91.0,35.0,6593.0,0.013802517821932352,0.38461538461538464
0.0,0.0,29.0,0.0,
0.0,1.0,82.0,0.0,inf
0.0,0.0,45.0,0.0,
3.0,1.0,118.0,0.025423728813559324,0.3333333333333333
0.0,0.0,14.0,0.0,
0.0,0.0,61.0,0.0,
10.0,9.0,6512.0,0.0015356265356265355,0.9
10.0,5.0,1105.0,0.00904977375565611,0.5
2.0,0.0,427.0,0.00468384074941452,0.0
